,Rank,Country
0,1,                        England                    
1,2,                        India                    
2,3,                        New Zealand                    
3,4,                        Australia                    
4,5,                        South Africa                    
5,6,                        Pakistan                    
6,7,                        Bangladesh                    
7,8,                        Sri Lanka                    
8,9,                        West Indies                    
9,10,                        Afghanistan                    
10,11,                        Ireland                    
11,12,                        Zimbabwe                    
12,13,                        Netherlands                    
13,14,                        Scotland                    
14,15,                        Namibia                    
15,16,                        Oman                    
16,17,                        Nepal                    
17,18,                        United States                    
18,19,                        UAE                    
19,20,                        Papua New Guinea                    
